"","cluster","old.nd","new.nd","change.nd","old.seq","new.seq","change.seq","threshold","time","length"
"73","cluster.AY.126.msa.fasta",0.0483758109644179,0.316908212560386,5.55096434028742,39,3,0.923076923076923,0.836883252372957,0.0129692554473877,6045
"74","cluster.AY.127.1.msa.fasta",0.000434027777777778,0.00078125,0.8,4,2,0.5,0.000704271526065177,0.0022428035736084,3840
"75","cluster.AY.127.msa.fasta",0.0105002499640394,0.484819431128156,45.1721799755755,102,2,0.980392156862745,0.845710914297548,0.0972909927368164,4365
"76","cluster.AY.129.msa.fasta",0.000682060676826445,0.0015625,1.29085190377804,26,2,0.923076923076923,0.00141498542793221,0.00478935241699219,3846
"77","cluster.AY.13.msa.fasta",0.000566887065777807,0.00234375,3.13442137153759,83,2,0.975903614457831,0.00191206178287947,0.0224475860595703,3846
"78","cluster.AY.131.msa.fasta",0.000694444444444444,0.00104166666666667,0.5,3,2,0.333333333333333,0.000938866950537706,0.0019528865814209,3840
"79","cluster.AY.133.msa.fasta",0.00033292802964507,0.000573065902578797,0.721290644076243,9,5,0.444444444444444,0.000704165992873219,0.0027010440826416,3840
"80","cluster.AY.14.msa.fasta",0.000641737144888693,0.00160590277777778,1.50243077024366,112,4,0.964285714285714,0.00192138500387325,0.0439653396606445,3846
"81","cluster.AY.15.msa.fasta",0.000435843793584379,0.000784518828451883,0.8,4,2,0.5,0.000706501464149231,0.00227475166320801,3840
"82","cluster.AY.16.1.msa.fasta",0.000218331943948235,0.000911695754102631,3.17573231665443,27,4,0.851851851851852,0.00107285963587761,0.00696134567260742,3840
"83","cluster.AY.16.msa.fasta",0.0010542125231007,0.00234558248631744,1.22496169882187,38,2,0.947368421052632,0.00213699934097482,0.0073244571685791,3846
"84","cluster.AY.2.msa.fasta",0.000524556474548757,0.00182291666666667,2.47515807184499,39,2,0.948717948717949,0.00160234430894869,0.00860953330993652,3846
"85","cluster.AY.20.1.msa.fasta",0.000347222222222222,0.000520833333333333,0.5,3,2,0.333333333333333,0.000468982631852778,0.00196003913879395,3840
"86","cluster.AY.20.msa.fasta",0.000705733927055633,0.00390625,4.53501801492968,1260,2,0.998412698412698,0.00322985973194219,7.81970882415771,3861
